Time (s),Order,Entropy
1,0.49535,0.5004
2,0.79721,0.64745
3,0.90118,0.85684
4,0.89179,0.5004
5,0.89235,1.14212
6,0.87731,1.23484
7,0.97742,0.3944
8,0.98376,0.82372
9,0.98136,0.42271
10,0.96042,0.51819
11,0.98409,1.18728
12,0.98132,0.99582
13,0.98339,0.68744
14,0.97436,0.84511
15,0.84921,0.32508
16,0.81711,0.68744
17,0.94365,0.94335
18,0.93654,1.04865
19,0.93845,0.73059
20,0.97711,1.01041
21,0.97286,0.85684
22,0.95523,0.19852
23,0.96556,0.32508
24,0.96811,1.16112
25,0.96949,0.85569
26,0.98267,0.61287
27,0.97244,0.69315
28,0.97506,0.73059
29,0.95037,0.82372
30,0.98815,1.01041
31,0.96964,0.32508
32,0.8741,0
33,0.65789,0.42271
34,0.81871,0.19852
35,0.97961,0.56234
36,0.95878,0.42271
37,0.976,0
38,0.95734,1.18728
39,0.98942,0.84511
40,0.97976,0.82372
